OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 169,2019-002E,2026-09-10T07:39:17.628192,14.38609216,.00024924,86.4283,349.6173,86.2274,273.9209,0,U,43926,999,40246,.57718345E-4,.196E-5,0
IRIDIUM 172,2019-002F,2026-09-10T12:10:26.940000,14.34217417,.00022753,86.3988,317.9262,95.5910,264.5545,0,U,43927,999,40119,.48131741E-4,.155E-5,0
IRIDIUM 175,2019-002G,2026-09-10T12:46:04.906272,14.43644813,.00017223,86.4462,254.8296,344.8405,15.2744,0,U,43928,999,41129,.26079183E-4,.109E-5,0
IRIDIUM 171,2019-002H,2026-09-10T11:43:02.868096,14.34218123,.00022036,86.3998,318.2499,92.9050,267.2398,0,U,43929,999,40118,.5140055E-4,.164E-5,0
IRIDIUM 170,2019-002J,2026-09-10T11:09:05.693472,14.72254037,.00024738,86.6109,317.9041,94.9788,265.1712,0,U,43930,999,41180,.71871826E-4,.478E-5,0
IRIDIUM 167,2019-002K,2026-09-10T11:33:54.580608,14.34217187,.00021726,86.3989,317.9600,88.8203,271.3242,0,U,43931,999,40118,.31400803E-4,.108E-5,0
IRIDIUM 181,2023-068S,2026-09-10T10:49:20.928288,14.43310408,.0002081,86.4535,21.1370,97.1875,262.9563,0,U,56726,999,17473,.52531985E-4,.197E-5,0
IRIDIUM 177,2023-068T,2026-09-10T14:14:08.532384,14.77160043,.00025767,86.1930,288.2636,92.9856,267.1658,0,U,56727,999,17899,.77233168E-4,.572E-5,0
IRIDIUM 174,2023-068U,2026-09-10T10:51:17.875872,14.72254590,.00027055,86.6118,318.0654,94.1039,266.0487,0,U,56728,999,17856,.76343787E-4,.506E-5,0
IRIDIUM 178,2023-068V,2026-09-10T07:07:29.677728,14.80036638,.00025139,86.6599,349.8169,93.3519,266.7990,0,U,56729,999,17895,.12959219E-3,.1006E-4,0
IRIDIUM 179,2023-068W,2026-09-10T13:29:13.775136,14.80044447,.00023749,86.6837,358.9330,90.8658,269.2836,0,U,56730,999,17899,.96456965E-4,.756E-5,0
